Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
0.020000,12.078457,18.332920,5.299284,-8.177738,4.870165,-9.938680,3.600959,
0.020000,12.226435,18.406861,5.464708,-8.271166,4.671391,-9.938733,3.608927,
0.020000,12.375428,18.482764,5.631920,-8.360618,4.472615,-9.938793,3.616517,
0.020000,12.525372,18.560553,5.800842,-8.446095,4.273838,-9.938847,3.623711,
0.020000,12.676212,18.640149,5.971394,-8.527596,4.075060,-9.938907,3.630493,
0.020000,12.827891,18.721466,6.143496,-8.605121,3.876280,-9.938967,3.636849,
0.020000,12.980361,18.804416,6.317070,-8.678671,3.677500,-9.939017,3.642766,
0.020000,13.133575,18.888904,6.492035,-8.748246,3.478718,-9.939075,3.648230,
0.020000,13.287490,18.974832,6.668312,-8.813845,3.279936,-9.939126,3.653230,
0.020000,13.442068,19.062099,6.845821,-8.875468,3.081152,-9.939176,3.657755,
0.020000,13.597271,19.150597,7.024483,-8.933115,2.882368,-9.939222,3.661796,
0.020000,13.753069,19.240219,7.204219,-8.986787,2.683583,-9.939267,3.665344,
0.020000,13.909429,19.330853,7.384949,-9.036483,2.484796,-9.939307,3.668389,
0.020000,14.066327,19.422384,7.566593,-9.082203,2.286010,-9.939346,3.670925,
0.020000,14.223735,19.514694,7.749072,-9.123947,2.087222,-9.939380,3.672945,
0.020000,14.381632,19.607664,7.932306,-9.161716,1.888434,-9.939411,3.674442,
0.020000,14.539996,19.701172,8.116216,-9.195509,1.689645,-9.939441,3.675410,
0.020000,14.698807,19.795095,8.300723,-9.225326,1.490856,-9.939465,3.675844,
0.020000,14.858048,19.889307,8.485746,-9.251167,1.292066,-9.939488,3.675740,
0.020000,15.017701,19.983682,8.671207,-9.273033,1.093276,-9.939507,3.675093,
0.020000,15.177749,20.078092,8.857025,-9.290922,0.894485,-9.939522,3.673899,
0.020000,15.338175,20.172408,9.043122,-9.304836,0.695695,-9.939535,3.672156,
0.020000,15.498963,20.266500,9.229417,-9.314774,0.496904,-9.939543,3.669860,
0.020000,15.660095,20.360238,9.415832,-9.320737,0.298113,-9.939547,3.667010,
0.020000,15.821540,20.453483,9.602270,-9.321910,0.058663,-11.972501,3.663604,
0.020000,15.983265,20.546098,9.788636,-9.318294,-0.180787,-11.972493,3.659642,
0.020000,16.145249,20.637950,9.974850,-9.310703,-0.379578,-9.939528,3.655124,
0.020000,16.307469,20.728912,10.160833,-9.299135,-0.578368,-9.939515,3.650051,
0.020000,16.469902,20.818854,10.346505,-9.283592,-0.777158,-9.939493,3.644425,
0.020000,16.632520,20.907649,10.531786,-9.264073,-0.975947,-9.939467,3.638249,
0.020000,16.795294,20.995170,10.716598,-9.240578,-1.174736,-9.939433,3.631525,
0.020000,16.958190,21.081294,10.900860,-9.213108,-1.373524,-9.939394,3.624259,
0.020000,17.121173,21.165899,11.084493,-9.181662,-1.572311,-9.939345,3.616457,
0.020000,17.284201,21.248865,11.267418,-9.146240,-1.771096,-9.939294,3.608126,
0.020000,17.447230,21.330076,11.449555,-9.106842,-1.969881,-9.939230,3.599275,
0.020000,17.610213,21.409419,11.630824,-9.063469,-2.168664,-9.939162,3.589914,
0.020000,17.773095,21.486786,11.811147,-9.016120,-2.367446,-9.939086,3.580055,
0.020000,17.935818,21.562072,11.990442,-8.964795,-2.566226,-9.939003,3.569711,
0.020000,18.098321,21.635179,12.168632,-8.909495,-2.765004,-9.938915,3.558899,
0.020000,18.260534,21.706014,12.345637,-8.850220,-2.963781,-9.938823,3.547635,
0.020000,18.422384,21.774488,12.521376,-8.786969,-3.162555,-9.938725,3.535938,
0.020000,18.583794,21.840522,12.695771,-8.719742,-3.361328,-9.938625,3.523829,
0.020000,18.744679,21.904042,12.868742,-8.648540,-3.560098,-9.938526,3.511333,
0.020000,18.904952,21.964983,13.040209,-8.573363,-3.758867,-9.938427,3.498472,
0.020000,19.064302,22.023712,13.210037,-8.491413,-4.097479,-16.930581,3.499017,
0.020000,19.221327,22.084055,13.378258,-8.411027,-4.019325,3.907688,3.517469,
0.020000,19.375693,22.146397,13.544737,-8.323962,-4.353226,-16.695072,3.532899,
0.020000,19.527493,22.210185,13.709395,-8.232914,-4.552421,-9.959753,3.545464,
0.020000,19.676826,22.274914,13.872153,-8.137883,-4.751558,-9.956825,3.555313,
0.020000,19.823790,22.340114,14.032930,-8.038870,-4.950641,-9.954167,3.562588,
0.020000,19.968479,22.405354,14.191648,-7.935876,-5.149678,-9.951827,3.567415,
