Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
0.020000,8.571475,13.500000,4.571515,6.650235,1.886451,-9.928688,0.000000, 
0.020000,8.705155,13.500000,4.705195,6.683993,1.687877,-9.928688,0.000000, 
0.020000,8.839431,13.500000,4.839471,6.713779,1.489303,-9.928688,0.000000, 
0.020000,8.974223,13.500000,4.974262,6.739593,1.290729,-9.928688,0.000000, 
0.020000,9.109382,13.500853,5.109425,6.758121,0.926357,-18.218627,0.015522, 
0.020000,9.244925,13.504228,5.245009,6.779210,1.054478,6.406061,0.034152, 
0.020000,9.380660,13.510094,5.380871,6.793117,0.695347,-17.956546,0.052109, 
0.020000,9.516470,13.518360,5.516932,6.803053,0.496788,-9.927966,0.069343, 
0.020000,9.652240,13.528923,5.653113,6.809017,0.298222,-9.928290,0.085814, 
0.020000,9.787849,13.541669,5.789319,6.810316,0.064958,-11.663228,0.101484, 
0.020000,9.923180,13.556475,5.925458,6.806950,-0.168313,-11.663529,0.116323, 
0.020000,10.058139,13.573212,6.061450,6.799612,-0.366896,-9.929154,0.130309, 
0.020000,10.192634,13.591746,6.197216,6.788303,-0.565484,-9.929369,0.143425, 
0.020000,10.326581,13.611937,6.332677,6.773021,-0.764074,-9.929548,0.155658, 
0.020000,10.459901,13.633644,6.467752,6.753768,-0.962668,-9.929690,0.167003, 
0.020000,10.592518,13.656723,6.602363,6.730542,-1.161264,-9.929798,0.177455, 
0.020000,10.724363,13.681029,6.736430,6.703345,-1.359862,-9.929873,0.187017, 
0.020000,10.855369,13.706418,6.869873,6.672176,-1.558460,-9.929918,0.195693, 
0.020000,10.985473,13.732745,7.002614,6.637035,-1.757059,-9.929938,0.203492, 
0.020000,11.114614,13.759869,7.134573,6.597922,-1.955658,-9.929935,0.210422, 
0.020000,11.242733,13.787650,7.265669,6.554837,-2.154256,-9.929912,0.216498, 
0.020000,11.369775,13.815949,7.395825,6.507779,-2.352853,-9.929874,0.221735, 
0.020000,11.495684,13.844635,7.524960,6.456750,-2.551450,-9.929821,0.226148, 
0.020000,11.620405,13.873577,7.652995,6.401750,-2.750045,-9.929759,0.229758, 
0.020000,11.743884,13.902649,7.779850,6.342777,-2.948639,-9.929688,0.232583, 
0.020000,11.866067,13.931732,7.905447,6.279832,-3.147231,-9.929611,0.234644, 
0.020000,11.986899,13.960709,8.029705,6.212916,-3.345821,-9.929529,0.235965, 
0.020000,12.106326,13.989469,8.152546,6.142028,-3.544410,-9.929443,0.236569, 
0.020000,12.224289,14.017910,8.273889,6.067168,-3.742997,-9.929356,0.236481, 
0.020000,12.340731,14.045932,8.393656,5.988336,-3.941583,-9.929267,0.235726, 
0.020000,12.455593,14.073443,8.511767,5.905533,-4.140166,-9.929178,0.234332, 
0.020000,12.568814,14.100356,8.628142,5.818758,-4.338748,-9.929090,0.232327, 
0.020000,12.680329,14.126594,8.742702,5.728011,-4.537328,-9.929003,0.229739, 
0.020000,12.790073,14.152084,8.855368,5.633293,-4.735907,-9.928919,0.226599, 
0.020000,12.897980,14.176761,8.966060,5.534603,-4.934483,-9.928838,0.222939, 
0.020000,13.003978,14.200565,9.074699,5.431942,-5.133059,-9.928762,0.218790, 
0.020000,13.107998,14.223448,9.181205,5.325310,-5.331632,-9.928689,0.214188, 
0.020000,13.209963,14.245364,9.285499,5.214705,-5.530205,-9.928624,0.209165, 
0.020000,13.309798,14.266279,9.387502,5.100130,-5.728776,-9.928563,0.203760, 
0.020000,13.407426,14.286162,9.487133,4.981583,-5.927346,-9.928511,0.198007, 
0.020000,13.502765,14.304994,9.584315,4.859065,-6.125916,-9.928465,0.191945, 
0.020000,13.595734,14.322760,9.678966,4.732575,-6.324484,-9.928429,0.185613, 
0.020000,13.686250,14.339452,9.771008,4.602114,-6.523052,-9.928402,0.179051, 
0.020000,13.774228,14.355071,9.860362,4.467682,-6.721620,-9.928383,0.172299, 
0.020000,13.859596,14.369627,9.946962,4.329972,-6.885494,-8.193701,0.165396, 
0.020000,13.942319,14.383139,10.030781,4.190970,-6.950082,-3.229389,0.158379, 
0.020000,14.022388,14.395638,10.111820,4.051968,-6.950077,0.000237,0.151283, 
0.020000,14.099795,14.407158,10.190080,3.912967,-6.950073,0.000219,0.144139, 
0.020000,14.174530,14.417734,10.265559,3.773966,-6.950069,0.000196,0.136979, 
0.020000,14.246583,14.427405,10.338258,3.634964,-6.950065,0.000172,0.129834, 
0.020000,14.315945,14.436213,10.408177,3.495963,-6.950062,0.000146,0.122733, 
0.020000,14.382608,14.444199,10.475317,3.356962,-6.950060,0.000119,0.115705, 
0.020000,14.446562,14.451409,10.539676,3.217961,-6.950058,0.000092,0.108777, 
0.020000,14.507799,14.457887,10.601255,3.078960,-6.950057,0.000066,0.101973, 
0.020000,14.566313,14.463678,10.660054,2.939959,-6.950056,0.000040,0.095320, 
0.020000,14.622094,14.468830,10.716073,2.800957,-6.950056,0.000016,0.088840, 
0.020000,14.675138,14.473387,10.769313,2.661956,-6.950056,-0.000005,0.082554, 
0.020000,14.725438,14.477396,10.819772,2.522955,-6.950056,-0.000028,0.076485, 
0.020000,14.773002,14.480902,10.867465,2.384648,-6.915364,1.734634,0.070648, 
0.020000,14.817879,14.483952,10.912445,2.249020,-6.781385,6.698943,0.065055, 
0.020000,14.860144,14.486592,10.954792,2.117364,-6.582813,9.928585,0.059712, 
0.020000,14.899872,14.488866,10.994586,1.989679,-6.384241,9.928586,0.054625, 
0.020000,14.937141,14.490814,11.031905,1.865966,-6.185669,9.928588,0.049795, 
0.020000,14.972026,14.492472,11.066830,1.746224,-5.987098,9.928591,0.045224, 
0.020000,15.004604,14.493877,11.099439,1.630453,-5.788526,9.928597,0.040913, 
0.020000,15.034955,14.495057,11.129812,1.518654,-5.589954,9.928603,0.036859, 
0.020000,15.063154,14.496044,11.158028,1.410827,-5.391381,9.928609,0.033061, 
0.020000,15.089280,14.496862,11.184168,1.306970,-5.192809,9.928617,0.029516, 
0.020000,15.113413,14.497534,11.208309,1.207086,-4.994237,9.928625,0.026218, 
0.020000,15.135629,14.498083,11.230533,1.111172,-4.795664,9.928628,0.023162, 
0.020000,15.156009,14.498526,11.250918,1.019231,-4.597091,9.928642,0.020344, 
0.020000,15.174631,14.498881,11.269543,0.931260,-4.398518,9.928641,0.017755, 
0.020000,15.191574,14.499162,11.286488,0.847261,-4.199945,9.928653,0.015388, 
0.020000,15.206917,14.499382,11.301833,0.767234,-4.001372,9.928655,0.013236, 
0.020000,15.220740,14.499551,11.315656,0.691178,-3.802799,9.928662,0.011290,
0.020000,15.233121,14.499680,11.328038,0.619093,-3.604226,9.928666,0.009541,
0.020000,15.244140,14.499777,11.339058,0.550980,-3.405652,9.928670,0.007980,
0.020000,15.253876,14.499848,11.348794,0.486839,-3.207079,9.928674,0.006597,
0.020000,15.262410,14.499899,11.357328,0.426669,-3.008505,9.928677,0.005382,
0.020000,15.269819,14.499935,11.364737,0.370470,-2.809932,9.928678,0.004325,
0.020000,15.276184,14.499959,11.371102,0.318243,-2.611358,9.928683,0.003416,
0.020000,15.281584,14.499976,11.376502,0.269987,-2.412784,9.928681,0.002643,
0.020000,15.286098,14.499986,11.381016,0.225703,-2.214211,9.928685,0.001996,
0.020000,15.289805,14.499993,11.384724,0.185390,-2.015637,9.928686,0.001465,
0.020000,15.292786,14.499996,11.387705,0.149049,-1.817063,9.928684,0.001037,
0.020000,15.295120,14.499998,11.390038,0.116679,-1.618490,9.928688,0.000701,
0.020000,15.296886,14.499999,11.391804,0.088281,-1.419916,9.928688,0.000448,
0.020000,15.298163,14.500000,11.393081,0.063854,-1.221342,9.928686,0.000264,
0.020000,15.299031,14.500000,11.393949,0.043399,-1.022768,9.928691,0.000139,
0.020000,15.299569,14.500000,11.394487,0.026915,-0.824195,9.928683,0.000062,
0.020000,15.299857,14.500000,11.394775,0.014402,-0.625621,9.928692,0.000021,
0.020000,15.299974,14.500000,11.394892,0.005861,-0.427047,9.928686,0.000004,
