20, 9.794832, 17.416705, 2.835670, 6.052786, 6.957208, 0.000199, 0.287491, 
20, 9.913395, 17.452467, 2.959508, 6.191930, 6.957213, 0.000237, 0.298373, 
20, 10.034216, 17.490351, 3.086130, 6.331075, 6.957218, 0.000263, 0.309278, 
20, 10.157264, 17.530412, 3.215534, 6.470219, 6.957224, 0.000297, 0.320185, 
20, 10.282503, 17.572702, 3.347721, 6.609364, 6.957231, 0.000325, 0.331074, 
20, 10.409903, 17.617270, 3.482692, 6.748508, 6.957238, 0.000354, 0.341921, 
20, 10.539430, 17.664161, 3.620445, 6.887653, 6.957245, 0.000373, 0.352704, 
20, 10.671015, 17.713401, 3.760941, 7.024811, 6.857865, -4.969002, 0.363396, 
20, 10.804553, 17.764997, 3.904101, 7.157993, 6.659097, -9.938397, 0.373970, 
20, 10.939943, 17.818950, 4.049845, 7.287199, 6.460329, -9.938399, 0.384395, 
20, 11.077085, 17.875251, 4.198093, 7.412430, 6.261561, -9.938410, 0.394646, 
20, 11.215882, 17.933884, 4.348767, 7.533686, 6.062792, -9.938430, 0.404695, 
20, 11.356242, 17.994829, 4.501786, 7.650967, 5.864023, -9.938457, 0.414516, 
20, 11.498073, 18.058053, 4.657072, 7.764272, 5.665253, -9.938491, 0.424084, 
20, 11.641291, 18.123522, 4.814544, 7.873601, 5.466483, -9.938530, 0.433375, 
20, 11.785812, 18.191190, 4.974123, 7.978956, 5.267711, -9.938577, 0.442367, 
20, 11.931559, 18.261009, 5.135730, 8.080334, 5.068939, -9.938624, 0.451038, 
20, 12.078457, 18.332920, 5.299284, 8.177738, 4.870165, -9.938680, 0.459367, 
20, 12.226435, 18.406861, 5.464708, 8.271166, 4.671391, -9.938733, 0.467335, 
20, 12.375428, 18.482764, 5.631920, 8.360618, 4.472615, -9.938793, 0.474925, 
20, 12.525372, 18.560553, 5.800842, 8.446095, 4.273838, -9.938847, 0.482119, 
20, 12.676212, 18.640149, 5.971394, 8.527596, 4.075060, -9.938907, 0.488901, 
20, 12.827891, 18.721466, 6.143496, 8.605121, 3.876280, -9.938967, 0.495257, 
20, 12.980361, 18.804416, 6.317070, 8.678671, 3.677500, -9.939017, 0.501174, 
20, 13.133575, 18.888904, 6.492035, 8.748246, 3.478718, -9.939075, 0.506638, 
20, 13.287490, 18.974832, 6.668312, 8.813845, 3.279936, -9.939126, 0.511638, 
20, 13.442068, 19.062099, 6.845821, 8.875468, 3.081152, -9.939176, 0.516163, 
20, 13.597271, 19.150597, 7.024483, 8.933115, 2.882368, -9.939222, 0.520204, 
20, 13.753069, 19.240219, 7.204219, 8.986787, 2.683583, -9.939267, 0.523752, 
