Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 9.587273, 13.654926, 5.589996, 9.786171, 6.248806, -14.533832, 6.277118, 
20, 9.785370, 13.653007, 5.788103, 9.905333, 5.958124, -14.534065, 6.269771, 
20, 9.985714, 13.649523, 5.988477, 10.018682, 5.667439, -14.534257, 6.261722, 
20, 10.188171, 13.644298, 6.191001, 10.126217, 5.376748, -14.534546, 6.252930, 
20, 10.392604, 13.637143, 6.395560, 10.227938, 5.086053, -14.534784, 6.243351, 
20, 10.598872, 13.627859, 6.602037, 10.323845, 4.795349, -14.535160, 6.232937, 
20, 10.806827, 13.616237, 6.810315, 10.413938, 4.504640, -14.535488, 6.221638, 
20, 11.016311, 13.602055, 7.020280, 10.498216, 4.213921, -14.535906, 6.209402, 
20, 11.227163, 13.585083, 7.231813, 10.576680, 3.923195, -14.536340, 6.196172, 
20, 11.439208, 13.565077, 7.444800, 10.649329, 3.632458, -14.536826, 6.181891, 
20, 11.652262, 13.541782, 7.659123, 10.716164, 3.341711, -14.537375, 6.166497, 
20, 11.866127, 13.514935, 7.874667, 10.777183, 3.050952, -14.537931, 6.149927, 
20, 12.080592, 13.484261, 8.091315, 10.832386, 2.760182, -14.538491, 6.132117, 
20, 12.295429, 13.449475, 8.308950, 10.881774, 2.469399, -14.539138, 6.113001, 
20, 12.510394, 13.410288, 8.527457, 10.925346, 2.178607, -14.539615, 6.092513, 
20, 12.725219, 13.366401, 8.746719, 10.963102, 1.887804, -14.540170, 6.070592, 
20, 12.939617, 13.317516, 8.966620, 10.995042, 1.596993, -14.540551, 6.047178, 
20, 13.153277, 13.263333, 9.187043, 11.021166, 1.306178, -14.540717, 6.022218, 
20, 13.365862, 13.203556, 9.407873, 11.041473, 1.015366, -14.540625, 5.995668, 
20, 13.577009, 13.137901, 9.628992, 11.055964, 0.724562, -14.540219, 5.967499, 
20, 13.786311, 13.066104, 9.850266, 11.063690, 0.386277, -16.914235, 5.937698, 
20, 13.993281, 12.987949, 10.071501, 11.061744, -0.097283, -24.178001, 5.906283, 
20, 14.197431, 12.903252, 10.292522, 11.051078, -0.533293, -21.800511, 5.873296, 
20, 14.398307, 12.811853, 10.513214, 11.034600, -0.823937, -14.532192, 5.838802, 
20, 14.595442, 12.713638, 10.733460, 11.012309, -1.114512, -14.528712, 5.802896, 
20, 14.788362, 12.608552, 10.953145, 10.984209, -1.405006, -14.524732, 5.765707, 
20, 14.976594, 12.496604, 11.172151, 10.950301, -1.695416, -14.520475, 5.727400, 
20, 15.159678, 12.377875, 11.390362, 10.910586, -1.985741, -14.516265, 5.688169, 
20, 15.337174, 12.252516, 11.607664, 10.865066, -2.275991, -14.512487, 5.648241, 
20, 15.508678, 12.120754, 11.823939, 10.813743, -2.566181, -14.509519, 5.607862, 
20, 15.673831, 11.982890, 12.039071, 10.756616, -2.856335, -14.507711, 5.567294, 
20, 15.832326, 11.839289, 12.252945, 10.693686, -3.146482, -14.507319, 5.526802, 
20, 15.983921, 11.690376, 12.465444, 10.624953, -3.436648, -14.508294, 5.486648, 
20, 16.128436, 11.536624, 12.676452, 10.550416, -3.726860, -14.510645, 5.447078, 
20, 16.265764, 11.378542, 12.885853, 10.470073, -4.017141, -14.514037, 5.408317, 
20, 16.395864, 11.216664, 13.093532, 10.383923, -4.307502, -14.518038, 5.370562, 
20, 16.518758, 11.051537, 13.299371, 10.291964, -4.597949, -14.522353, 5.333974, 
20, 16.634527, 10.883710, 13.503255, 10.194195, -4.888482, -14.526629, 5.298685, 
20, 16.743306, 10.713723, 13.705067, 10.090613, -5.179090, -14.530402, 5.264790, 
20, 16.845269, 10.542104, 13.904692, 9.981218, -5.469761, -14.533579, 5.232354, 
20, 16.940631, 10.369357, 14.102012, 9.866008, -5.760486, -14.536250, 5.201413, 
20, 17.029629, 10.195964, 14.296912, 9.744983, -6.051248, -14.538083, 5.171978, 
20, 17.112525, 10.022379, 14.489274, 9.618142, -6.342035, -14.539373, 5.144042, 
20, 17.189592, 9.849028, 14.678984, 9.485486, -6.632839, -14.540199, 5.117577, 
20, 17.261112, 9.676310, 14.865924, 9.347013, -6.923644, -14.540255, 5.092547, 
20, 17.327369, 9.504595, 15.049979, 9.202724, -7.214456, -14.540563, 5.068905, 
20, 17.388649, 9.334228, 15.231031, 9.052618, -7.505257, -14.540072, 5.046596, 
20, 17.445232, 9.165531, 15.408965, 8.896697, -7.796050, -14.539641, 5.025563, 
20, 17.497392, 8.998800, 15.583664, 8.734961, -8.086833, -14.539175, 5.005745, 
20, 17.545397, 8.834314, 15.755013, 8.567409, -8.377609, -14.538779, 4.987083, 
20, 17.589505, 8.672331, 15.922893, 8.394041, -8.668366, -14.537866, 4.969517, 
20, 17.629963, 8.513093, 16.087191, 8.214859, -8.959118, -14.537570, 4.952988, 
20, 17.667010, 8.356827, 16.247788, 8.029862, -9.249857, -14.536984, 4.937439, 
20, 17.700871, 8.203746, 16.404569, 7.839050, -9.540584, -14.536312, 4.922818, 
20, 17.731767, 8.054034, 16.557436, 7.643374, -9.783802, -12.160912, 4.909070, 
20, 17.759918, 7.907804, 16.706351, 7.445740, -9.881686, -4.894207, 4.896143, 
20, 17.785533, 7.765123, 16.851313, 7.248105, -9.881745, -0.002959, 4.883982, 
20, 17.808811, 7.626048, 16.992323, 7.050470, -9.881794, -0.002436, 4.872536, 
20, 17.829934, 7.490629, 17.129379, 6.852833, -9.881839, -0.002239, 4.861761, 
20, 17.849070, 7.358908, 17.262483, 6.655195, -9.881872, -0.001671, 4.851614, 
20, 17.866379, 7.230922, 17.391634, 6.457557, -9.881905, -0.001660, 4.842056, 
20, 17.882006, 7.106703, 17.516833, 6.259919, -9.881932, -0.001310, 4.833052, 
20, 17.896087, 6.986277, 17.638078, 6.062280, -9.881955, -0.001188, 4.824568, 
20, 17.908750, 6.869670, 17.755371, 5.864640, -9.881976, -0.001043, 4.816574, 
20, 17.920110, 6.756901, 17.868711, 5.667000, -9.881990, -0.000705, 4.809042, 
20, 17.930279, 6.647987, 17.978098, 5.469360, -9.882010, -0.001003, 4.801947, 
20, 17.939356, 6.542945, 18.083533, 5.271720, -9.882020, -0.000493, 4.795265, 
20, 17.947438, 6.441785, 18.185014, 5.074079, -9.882030, -0.000470, 4.788975, 
20, 17.954611, 6.344521, 18.282543, 4.876438, -9.882043, -0.000679, 4.783056, 
20, 17.960958, 6.251160, 18.376119, 4.678797, -9.882049, -0.000297, 4.777491, 
20, 17.966554, 6.161712, 18.465742, 4.481156, -9.882057, -0.000392, 4.772262, 
20, 17.971469, 6.076183, 18.551412, 4.283515, -9.882061, -0.000221, 4.767354, 
20, 17.975770, 5.994579, 18.633130, 4.085873, -9.882071, -0.000479, 4.762753, 
20, 17.979518, 5.916904, 18.710894, 3.888232, -9.882075, -0.000201, 4.758446, 
20, 17.982767, 5.843164, 18.784706, 3.690590, -9.882077, -0.000088, 4.754420, 
20, 17.985571, 5.773361, 18.854565, 3.492949, -9.882081, -0.000195, 4.750666, 
20, 17.987979, 5.707480, 18.920490, 3.296257, -9.834582, 2.374931, 4.747171, 
20, 17.990036, 5.645446, 18.982559, 3.103422, -9.641752, 9.641522, 4.743922, 
20, 17.991787, 5.587144, 19.040887, 2.916400, -9.351107, 14.532222, 4.740906, 
20, 17.993270, 5.532460, 19.095591, 2.735191, -9.060457, 14.532479, 4.738109, 
20, 17.994520, 5.481280, 19.146787, 2.559795, -8.769810, 14.532374, 4.735518, 
20, 17.995569, 5.433487, 19.194591, 2.390211, -8.479161, 14.532457, 4.733123, 
20, 17.996442, 5.388967, 19.239120, 2.226441, -8.188512, 14.532465, 4.730912, 
20, 17.997167, 5.347603, 19.280489, 2.068484, -7.897866, 14.532295, 4.728875, 
20, 17.997762, 5.309281, 19.318816, 1.916340, -7.607214, 14.532601, 4.727003, 
20, 17.998249, 5.273885, 19.354216, 1.770008, -7.316563, 14.532544, 4.725286, 
20, 17.998644, 5.241297, 19.386806, 1.629490, -7.025919, 14.532173, 4.723715, 
20, 17.998961, 5.211403, 19.416702, 1.494785, -6.735264, 14.532775, 4.722283, 
20, 17.999214, 5.184086, 19.444020, 1.365892, -6.444617, 14.532357, 4.720982, 
20, 17.999413, 5.159231, 19.468876, 1.242813, -6.153966, 14.532532, 4.719804, 
20, 17.999568, 5.136721, 19.491387, 1.125547, -5.863317, 14.532462, 4.718742, 
20, 17.999687, 5.116439, 19.511669, 1.014093, -5.572667, 14.532514, 4.717789, 
20, 17.999777, 5.098270, 19.529838, 0.908453, -5.282017, 14.532479, 4.716938, 
20, 17.999845, 5.082098, 19.546010, 0.808626, -4.991365, 14.532603, 4.716184, 
20, 17.999894, 5.067806, 19.560302, 0.714611, -4.700721, 14.532215, 4.715519, 
20, 17.999930, 5.055278, 19.572831, 0.626410, -4.410065, 14.532776, 4.714938, 
20, 17.999955, 5.044397, 19.583711, 0.544022, -4.119415, 14.532499, 4.714434, 
20, 17.999972, 5.035048, 19.593060, 0.467446, -3.828769, 14.532296, 4.714002, 
20, 17.999983, 5.027115, 19.600994, 0.396684, -3.538114, 14.532740, 4.713636, 
20, 17.999990, 5.020480, 19.607628, 0.331735, -3.247468, 14.532294, 4.713330, 
